iter	Logloss
0	0.6744599562
1	0.6570808128
2	0.6412911357
3	0.6266709854
4	0.6135641234
5	0.6007689835
6	0.5890780691
7	0.5784066018
8	0.5686846873
9	0.5591345311
10	0.550027431
11	0.5418968429
12	0.5346293561
13	0.5273695603
14	0.5207748709
15	0.5146061371
16	0.5089244758
17	0.50398082
18	0.4991177709
19	0.4945057346
20	0.4902291792
21	0.486469166
22	0.4828204347
23	0.4797495262
24	0.4769311081
25	0.4738381963
26	0.4715593788
27	0.469110231
28	0.4668821214
29	0.4646521959
30	0.462672942
31	0.4607183556
32	0.458865798
33	0.4573374296
34	0.4557752377
35	0.4542851746
36	0.4529249034
37	0.451638834
38	0.4500870189
39	0.4490116555
40	0.4478792385
41	0.4469291286
42	0.445911371
43	0.4449019228
44	0.444043881
45	0.4433170277
46	0.4425383217
47	0.4418049347
48	0.4410782451
49	0.4403427937
50	0.439742795
51	0.4392040851
52	0.4385810288
53	0.438015631
54	0.4375054943
55	0.4369802752
56	0.4363288555
57	0.4358402314
58	0.435365874
59	0.4349307688
60	0.434453034
61	0.4339798267
62	0.4335420565
63	0.4330871839
64	0.4327546485
65	0.4324081448
66	0.4319759886
67	0.4315682453
68	0.4312298475
69	0.4309274538
70	0.4306618804
71	0.430277502
72	0.4299315796
73	0.4296172644
74	0.4293109132
75	0.4288530447
76	0.4286247921
77	0.4284019076
78	0.42812765
79	0.4279485709
80	0.4276480196
81	0.4273531919
82	0.4270950659
83	0.4269181791
84	0.426686503
85	0.4263431357
86	0.4260681305
87	0.4259020623
88	0.4256931191
89	0.4254333697
90	0.4251987493
91	0.4249747029
92	0.4246892011
93	0.4245601398
94	0.4243534844
95	0.4240856338
96	0.4238990293
97	0.4236884161
98	0.4234945833
99	0.4232579936
100	0.4230979624
101	0.4228613298
102	0.422686524
103	0.4225498096
104	0.4222682739
105	0.4220663711
106	0.4219540069
107	0.4218354662
108	0.4216562691
109	0.4214734719
110	0.4212454672
111	0.4210077479
112	0.4208815665
113	0.4207238482
114	0.4206098908
115	0.4204639543
116	0.4202546115
117	0.4199878949
118	0.4198648316
119	0.4196708447
120	0.4195776849
121	0.41948133
122	0.4193157495
123	0.419203093
124	0.4190724224
125	0.4189859727
126	0.4188157943
127	0.4186747258
128	0.4185519473
129	0.4183909092
130	0.4181754605
131	0.4180173094
132	0.4178890413
133	0.417794592
134	0.4176628886
135	0.4175727629
136	0.4173869098
137	0.4173079917
138	0.4171693681
139	0.4170336634
140	0.4169723186
141	0.4167728933
142	0.4166605718
143	0.4164556627
144	0.4163449308
145	0.4162760931
146	0.416143519
147	0.4159616505
148	0.4158998762
149	0.4157755955
150	0.4157241487
151	0.4156605343
152	0.4155596292
153	0.4154761251
154	0.4152748269
155	0.4152361791
156	0.4151400908
157	0.4150185953
158	0.4149276678
159	0.414809147
160	0.414713142
161	0.4145990453
162	0.4145279834
163	0.4143694261
164	0.4142782646
165	0.4141580638
166	0.4140294138
167	0.4138956794
168	0.4137435189
169	0.4135771975
170	0.4134429185
171	0.4133113665
172	0.4132127426
173	0.4131156187
174	0.413041994
175	0.4129229177
176	0.4126999275
177	0.4125921312
178	0.4125234051
179	0.412407099
180	0.4123071931
181	0.412159211
182	0.4120531377
183	0.4119669361
184	0.4118674204
185	0.4117806507
186	0.4116139578
187	0.4115121551
188	0.4113177828
189	0.4112399455
190	0.4111257498
191	0.4110343504
192	0.4108996341
193	0.41081599
194	0.4107258841
195	0.4105615881
196	0.4104364846
197	0.4102860316
198	0.4101880627
199	0.4101061032
200	0.4099772942
201	0.4098729028
202	0.4097545399
203	0.4097013304
204	0.4096277388
205	0.4095661969
206	0.4094898283
207	0.4093799857
208	0.4093139923
209	0.4092427838
210	0.4091334637
211	0.4090444755
212	0.4089390167
213	0.4088527017
214	0.4086951719
215	0.4085446821
216	0.4083885666
217	0.4082797658
218	0.4081718066
219	0.4081045023
220	0.4080083353
221	0.4079287972
222	0.4078180397
223	0.4077375332
224	0.4076259342
225	0.407510391
226	0.4074363565
227	0.407322521
228	0.4072411163
229	0.4071370712
230	0.4070824207
231	0.4069453627
232	0.4068577988
233	0.4067708433
234	0.4066886568
235	0.4065502091
236	0.4063739852
237	0.4062233553
238	0.4060330098
239	0.4059102273
240	0.4057609253
241	0.4056657527
242	0.4056015099
243	0.4055351164
244	0.4054702564
245	0.4053782897
246	0.4053196332
247	0.4052604475
248	0.405157872
249	0.4050924396
250	0.4050184138
251	0.4049071431
252	0.4048443051
253	0.404771185
254	0.4046370214
255	0.4045241595
256	0.40437575
257	0.4041948152
258	0.4040009338
259	0.4038966544
260	0.4038041684
261	0.403752319
262	0.403652617
263	0.4035724809
264	0.4034896022
265	0.4033796954
266	0.4033318888
267	0.403189246
268	0.4030926621
269	0.402887927
270	0.4027535324
271	0.4026978388
272	0.4026093773
273	0.4024949429
274	0.4023527648
275	0.4022623566
276	0.4021497369
277	0.4020037942
278	0.4019283187
279	0.4017318228
280	0.4015970916
281	0.4015156681
282	0.4014350958
283	0.401369824
284	0.4012950265
285	0.4012038156
286	0.401135947
287	0.401077262
288	0.4009918816
289	0.4008986726
290	0.400809333
291	0.4007657864
292	0.4006435921
293	0.4004122808
294	0.4002487475
295	0.4001874744
296	0.4001344244
297	0.4000768725
298	0.3999785841
299	0.3999065764
300	0.3998467159
301	0.3997132134
302	0.3996134986
303	0.399509879
304	0.3994225511
305	0.3993229109
306	0.3991937261
307	0.3991372637
308	0.3990987399
309	0.3990135635
310	0.3989184518
311	0.3988313983
312	0.3987864257
313	0.3987240891
314	0.3986390129
315	0.3985015999
316	0.3984003247
317	0.3982617621
318	0.3982467
319	0.39813685
320	0.3980796172
321	0.3979868518
322	0.3979288278
323	0.3977991688
324	0.3977207582
325	0.3976586822
326	0.3975395664
327	0.3974415342
328	0.3973157366
329	0.3972342744
330	0.3971395115
331	0.3970610469
332	0.3969913432
333	0.3968805454
334	0.3968083298
335	0.3967402616
336	0.3966240257
337	0.3965581836
338	0.3964851537
339	0.3964092096
340	0.3962718793
341	0.3961811926
342	0.3961247561
343	0.3959666884
344	0.3958998982
345	0.3957949356
346	0.3956176534
347	0.3954842879
348	0.395403324
349	0.3952416815
350	0.3951457172
351	0.3950573939
352	0.3949305559
353	0.3948818026
354	0.3947477516
355	0.3946982829
356	0.394566283
357	0.3945052711
358	0.3943920351
359	0.3942107062
360	0.3942036122
361	0.394138734
362	0.3939893037
363	0.3938711983
364	0.3938329911
365	0.3937096707
366	0.3935034439
367	0.3934969531
368	0.3934487593
369	0.3933270734
370	0.3932357269
371	0.3930981755
372	0.3929810502
373	0.3928937773
374	0.392780731
375	0.3927275642
376	0.3926416899
377	0.3925028811
378	0.3923084767
379	0.3921887974
380	0.3921287449
381	0.392059606
382	0.3919930198
383	0.3918950157
384	0.3917333411
385	0.3916532325
386	0.3916073697
387	0.3915297155
388	0.391451121
389	0.3913826337
390	0.3912900422
391	0.3911678265
392	0.3910587049
393	0.3910271134
394	0.390902909
395	0.39082616
396	0.3907160873
397	0.390607178
398	0.3904696931
399	0.390463865
400	0.3903215886
401	0.3902060999
402	0.39009295
403	0.3900233191
404	0.3898865665
405	0.3898060653
406	0.3897417457
407	0.389647851
408	0.3895509411
409	0.389383493
410	0.3892922356
411	0.3892214857
412	0.3890276829
413	0.3889486991
414	0.3888571973
415	0.3887830677
416	0.3887208905
417	0.3886352286
418	0.3884820044
419	0.3883278194
420	0.3883224365
421	0.388205614
422	0.3881125177
423	0.3880366221
424	0.3879527136
425	0.3878499517
426	0.3877647961
427	0.3875929442
428	0.387410679
429	0.3873125936
430	0.3872342738
431	0.3870135791
432	0.3870085264
433	0.3869283211
434	0.3868422509
435	0.3866780336
436	0.3866185587
437	0.3865897444
438	0.3865033227
439	0.3863384081
440	0.3862495176
441	0.3861356541
442	0.3860467887
443	0.3859682432
444	0.3858783549
445	0.3857583641
446	0.3856074603
447	0.3855246072
448	0.3854115881
449	0.3852839328
450	0.3852377205
451	0.3851112855
452	0.3850441733
453	0.3848953212
454	0.3847872702
455	0.3846391008
456	0.3845810957
457	0.3844501117
458	0.3843568729
459	0.3842663659
460	0.3841813815
461	0.3841765312
462	0.3840614715
463	0.3840020892
464	0.3838854601
465	0.3837602968
466	0.3836921819
467	0.3835216912
468	0.3833820068
469	0.3831931834
470	0.3830124453
471	0.3828961515
472	0.3828128564
473	0.382804726
474	0.3827091837
475	0.3826210494
476	0.3825061829
477	0.3824275358
478	0.3823030507
479	0.3822066213
480	0.3821295717
481	0.3820245087
482	0.3819152364
483	0.3818169108
484	0.3817021959
485	0.3816000522
486	0.3815022444
487	0.3814189395
488	0.3813158034
489	0.38124591
490	0.381193481
491	0.3810763477
492	0.3809866312
493	0.3809212852
494	0.3808553653
495	0.3808172038
496	0.3806517691
497	0.3805846191
498	0.3804971845
499	0.3804767027
500	0.3804130105
501	0.3803137735
502	0.3802030808
503	0.380110798
504	0.3800215199
505	0.3799400976
506	0.3798530127
507	0.3797689014
508	0.3796561519
509	0.3794823557
510	0.3793796435
511	0.3792443682
512	0.3791626285
513	0.3790547854
514	0.3789082951
515	0.3787795707
516	0.3786656622
517	0.3785762132
518	0.3784190786
519	0.3782726917
520	0.3781364329
521	0.3780181408
522	0.3779371691
523	0.3778382814
524	0.3777186455
525	0.3776018332
526	0.3775146552
527	0.3774415619
528	0.3773507756
529	0.3772825658
530	0.3771889897
531	0.377048985
532	0.3768821202
533	0.3768231209
534	0.3766699106
535	0.3765485699
536	0.3764433028
537	0.3764180026
538	0.3763008246
539	0.376136054
540	0.3760586622
541	0.3759970994
542	0.3759090138
543	0.3758355117
544	0.3757633512
545	0.3756877977
546	0.3755995251
547	0.3754829676
548	0.3754168838
549	0.3753528642
550	0.3752932073
551	0.3751604886
552	0.3750281374
553	0.374898237
554	0.3748135944
555	0.3746747228
556	0.3745377042
557	0.3744295661
558	0.374336096
559	0.3742558779
560	0.3741608872
561	0.3740698491
562	0.3740282887
563	0.3739216829
564	0.3738640482
565	0.3737119469
566	0.3736219226
567	0.3735820237
568	0.3734507873
569	0.373350539
570	0.3732167183
571	0.3731926157
572	0.3730854697
573	0.3729577333
574	0.3728796846
575	0.3726961097
576	0.3726242444
577	0.3724843043
578	0.3723572508
579	0.372171755
580	0.3720430368
581	0.3719322899
582	0.3718482156
583	0.3717408264
584	0.3716833556
585	0.3716415588
586	0.3715540781
587	0.3714416478
588	0.3713730015
589	0.3713241736
590	0.3711927056
591	0.3710975228
592	0.371042689
593	0.3709537737
594	0.3709360778
595	0.370902607
596	0.370772861
597	0.3706540688
598	0.3705773313
599	0.3705125677
600	0.3704005285
601	0.3703132053
602	0.3701986652
603	0.3700988877
604	0.3700396286
605	0.3699707431
606	0.3698841487
607	0.3697962091
608	0.3697423031
609	0.3696313043
610	0.3695635375
611	0.3694451125
612	0.3693868307
613	0.3693378957
614	0.3691967168
615	0.3690840277
616	0.3689430403
617	0.3688435291
618	0.3687590507
619	0.3686244499
620	0.3685293783
621	0.3684149278
622	0.3683143869
623	0.3682247409
624	0.3681658815
625	0.3680950891
626	0.3679691095
627	0.3677969589
628	0.3677532738
629	0.3676673045
630	0.3675222668
631	0.367465818
632	0.3674049999
633	0.3673155727
634	0.3672016451
635	0.3671677418
636	0.3670253334
637	0.3669684858
638	0.3669055846
639	0.3668138147
640	0.3666605915
641	0.3665789818
642	0.3664763741
643	0.3663682316
644	0.3662945076
645	0.3661763793
646	0.3660930608
647	0.3659697205
648	0.3658426867
649	0.3657673003
650	0.3657141795
651	0.3656527409
652	0.3656150791
653	0.365580927
654	0.365474018
655	0.365347181
656	0.3652258898
657	0.3651188951
658	0.3650661787
659	0.3649588918
660	0.3648190754
661	0.3647392376
662	0.3646450099
663	0.3645818109
664	0.3645020541
665	0.364438279
666	0.3643621768
667	0.3642799027
668	0.3641776401
669	0.3640382478
670	0.3638721955
671	0.3637825168
672	0.3636484274
673	0.3635929837
674	0.3634237259
675	0.3633509967
676	0.3632336415
677	0.3631329622
678	0.3630438864
679	0.3629162138
680	0.3628621624
681	0.3627948936
682	0.3626635171
683	0.3625743511
684	0.3624902415
685	0.3624096299
686	0.3622749566
687	0.3621794935
688	0.3620465697
689	0.3619616425
690	0.3618594961
691	0.3617759511
692	0.3617125548
693	0.3616584276
694	0.3615356811
695	0.3613821027
696	0.3613064579
697	0.3612373349
698	0.3611592622
699	0.3610864205
700	0.3610518135
701	0.3609882249
702	0.3608178783
703	0.3607115439
704	0.3606439566
705	0.3605587486
706	0.3604539991
707	0.3603525107
708	0.3602607757
709	0.360095973
710	0.3599555826
711	0.3598704599
712	0.3598195662
713	0.3597841695
714	0.3597111532
715	0.3596205807
716	0.3596155225
717	0.3595583141
718	0.3594835725
719	0.3593667576
720	0.3592765922
721	0.3592203296
722	0.3591248286
723	0.359028057
724	0.3589364177
725	0.358829717
726	0.3587723199
727	0.358648227
728	0.3585039846
729	0.3583808366
730	0.3583390259
731	0.3582302702
732	0.3581635112
733	0.3581090582
734	0.3579512208
735	0.3579066673
736	0.3578505864
737	0.357738176
738	0.3576655065
739	0.3575882409
740	0.3575312087
741	0.357465651
742	0.3574210244
743	0.357355636
744	0.3572894758
745	0.3571551986
746	0.3571434744
747	0.357102576
748	0.3570199929
749	0.3569602261
750	0.3568447932
751	0.3567443287
752	0.3566718682
753	0.3566039022
754	0.3565186594
755	0.3564730245
756	0.356424449
757	0.3563025035
758	0.3562241467
759	0.3561540785
760	0.3560488294
761	0.3559644745
762	0.355833147
763	0.3557412232
764	0.3556275231
765	0.3554950251
766	0.3553968963
767	0.355310415
768	0.3551890291
769	0.3551102669
770	0.3550637956
771	0.3549799759
772	0.3549058869
773	0.3548126731
774	0.3547018313
775	0.3546404884
776	0.3545189463
777	0.3544485481
778	0.3543958797
779	0.3543243978
780	0.3542582484
781	0.3541845826
782	0.3541475122
783	0.354087625
784	0.3539775829
785	0.353898364
786	0.3538667037
787	0.3537651597
788	0.3536478509
789	0.353587906
790	0.3535142121
791	0.3534468044
792	0.3533886736
793	0.3533595046
794	0.3532669343
795	0.3531502925
796	0.3531111051
797	0.3530365917
798	0.3529406732
799	0.3528794791
800	0.352845418
801	0.3527523643
802	0.3526625524
803	0.3525685864
804	0.352511171
805	0.3524670155
806	0.3523602862
807	0.3523060442
808	0.3521976025
809	0.3521593008
810	0.3521090629
811	0.3519895754
812	0.3519466112
813	0.3518175062
814	0.3517343869
815	0.3517031923
816	0.3515666474
817	0.3514977787
818	0.3513962775
819	0.351282153
820	0.3511896149
821	0.3511090863
822	0.3510764542
823	0.3509928613
824	0.3508975265
825	0.3508255123
826	0.3507512274
827	0.3506781885
828	0.3505771748
829	0.3504833934
830	0.350394789
831	0.3503148517
832	0.3502220989
833	0.3501350727
834	0.3500998258
835	0.350059826
836	0.3500284706
837	0.3499523645
838	0.3498723771
839	0.3497403893
840	0.3496293226
841	0.3495755413
842	0.3495107827
843	0.3494312935
844	0.3493106259
845	0.3492378032
846	0.3491253808
847	0.3490355945
848	0.3489561579
849	0.3488955841
850	0.348845113
851	0.3487235874
852	0.3486348609
853	0.348533318
854	0.3484379274
855	0.3483729677
856	0.3483039655
857	0.3481809406
858	0.3480900787
859	0.3479759989
860	0.3478932934
861	0.3477882664
862	0.3476969428
863	0.3476150254
864	0.3475672072
865	0.3474792977
866	0.3473448697
867	0.3472742747
868	0.3471808276
869	0.3470971427
870	0.3470355118
871	0.3469445488
872	0.3468666308
873	0.3467837132
874	0.3467424523
875	0.3467064891
876	0.3466065328
877	0.3464926168
878	0.3464502765
879	0.3463879764
880	0.3462919486
881	0.3462116921
