iter	Passed	Remaining
825	4108	865
826	4113	860
827	4118	855
828	4123	850
829	4128	845
830	4133	840
831	4138	835
832	4143	830
833	4148	825
834	4153	820
835	4158	815
836	4162	810
837	4167	805
838	4172	800
839	4177	795
840	4183	790
841	4187	785
842	4192	780
843	4197	775
844	4202	770
845	4207	765
846	4212	760
847	4217	755
848	4222	750
849	4226	745
850	4230	740
851	4235	735
852	4240	730
853	4245	725
854	4249	720
855	4254	715
856	4258	710
857	4263	705
858	4267	700
859	4272	695
860	4277	690
861	4282	685
862	4287	680
863	4291	675
864	4296	670
865	4301	665
866	4305	660
867	4309	655
868	4314	650
869	4318	645
870	4323	640
871	4327	635
872	4332	630
873	4337	625
874	4341	620
875	4346	615
876	4350	610
877	4355	605
878	4360	600
879	4365	595
880	4370	590
881	4375	585
882	4379	580
883	4384	575
884	4388	570
885	4393	565
886	4397	560
887	4402	555
888	4407	550
889	4412	545
890	4416	540
891	4421	535
892	4425	530
893	4430	525
894	4435	520
895	4440	515
896	4444	510
897	4448	505
898	4453	500
899	4457	495
900	4462	490
901	4466	485
902	4470	480
903	4475	475
904	4480	470
905	4485	465
906	4490	460
907	4495	455
908	4499	450
909	4504	445
910	4509	440
911	4513	435
912	4518	430
913	4522	425
914	4527	420
915	4531	415
916	4536	410
917	4540	405
918	4545	400
919	4550	395
920	4554	390
921	4559	385
922	4564	380
923	4568	375
924	4573	370
925	4577	365
926	4582	360
927	4586	355
928	4591	350
929	4595	345
930	4600	340
931	4604	335
932	4609	331
933	4613	326
934	4618	321
935	4623	316
936	4628	311
937	4633	306
938	4637	301
939	4643	296
940	4647	291
941	4652	286
942	4656	281
943	4661	276
944	4666	271
945	4670	266
946	4675	261
947	4679	256
948	4684	251
949	4689	246
950	4693	241
951	4698	236
952	4703	231
953	4708	227
954	4712	222
955	4717	217
956	4722	212
957	4727	207
958	4732	202
959	4736	197
960	4742	192
961	4747	187
962	4751	182
963	4756	177
964	4761	172
965	4766	167
966	4770	162
967	4775	157
968	4780	152
969	4784	147
970	4789	143
971	4794	138
972	4798	133
973	4802	128
974	4807	123
975	4811	118
976	4816	113
977	4820	108
978	4825	103
979	4829	98
980	4834	93
981	4838	88
982	4843	83
983	4847	78
984	4852	73
985	4856	68
986	4861	64
987	4865	59
988	4870	54
989	4874	49
990	4879	44
991	4883	39
992	4888	34
993	4893	29
994	4897	24
995	4902	19
996	4907	14
997	4912	9
998	4916	4
999	4921	0
